file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00315_0317_1464155_to_1469308,དེ་ལྟ་བུའི་ཟབ་མོའི་ལམ་འདི་དཔག་པར་དཀའ་བ་དང་། རྟོགས་པར་དཀའ་བ་ཡིན་པ་དེའི་ཕྱིར་ ,de lta bu'i zab mo'i lam 'di dpag par dka' ba dang /_rtogs par dka' ba yin pa de'i phyir _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00315_0317_1464155_to_1469308.wav,STT_AB,2,76,5.153,wav16k/STT_AB00315_0317_1464155_to_1469308.wav,དེ་ལྟ་བུའི་ཟབ་མོའི་ལམ་འདི་དཔག་པར་དཀའ་བ་དང་། རྟོགས་པར་དཀའ་བ་ཡིན་པ་དེའི་ཕྱིར།
STT_AB00315_0310_1431493_to_1435230,དེ་ནས། ངེས་དོན་གསུང་རབ་སྙིང་པོ་ཤེར་ཕྱིན་དོན།  ,de nas/_nges don gsung rab snying po sher phyin don/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00315_0310_1431493_to_1435230.wav,STT_AB,2,46,3.737,wav16k/STT_AB00315_0310_1431493_to_1435230.wav,དེ་ནས་ངེས་དོན་གསུང་རབ་སྙིང་པོ་ཤེར་ཕྱིན་དོན།
STT_AB00315_0318_1469786_to_1473302,ཟབ་མོའི་དོན་མ་རྟོགས་པ་དང་། ལོག་པར་རྟོག་པ་སྟེ་ ,zab mo'i don ma rtogs pa dang /_log par rtog pa ste _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00315_0318_1469786_to_1473302.wav,STT_AB,2,46,3.516,wav16k/STT_AB00315_0318_1469786_to_1473302.wav,ཟབ་མོའི་དོན་མ་རྟོགས་པ་དང་ལོག་པར་རྟོགས་པ་སྟེ།
STT_AB00315_0320_1477158_to_1482141,ཐེ་ཚོམ་མུན་པའི་ཚོགས་ཏེ་ཐེ་ཚོམ་གྱི་འཆིང་བའི་རྒྱ་ལས་མ་གྲོལ་བ་རྣམས་ ,the tshom mun pa'i tshogs te the tshom gyi 'ching ba'i rgya las ma grol ba rnams _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00315_0320_1477158_to_1482141.wav,STT_AB,2,65,4.983,wav16k/STT_AB00315_0320_1477158_to_1482141.wav,ཐེ་ཚོམ་མུན་པའི་ཚོགས་ཏེ་ཐེ་ཚོམ་གྱི་འཆིང་བའི་རྒྱ་ལས་མ་གྲོལ་བ་རྣམས་
STT_AB00494_0151_533506_to_536697,སྐུ་ཞབས་རཱཇ་འགོ་འཛིན་བཀྲ་ཤིས་ཀྱི་ལས་ཁུངས་ནང་ཚུར་སླེབས་སྐབས།  ,sku zhabs rAja 'go 'dzin bkra shis kyi las khungs nang tshur slebs skabs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00494_0151_533506_to_536697.wav,STT_AB,2,61,3.191,wav16k/STT_AB00494_0151_533506_to_536697.wav,སྐུ་ཞབས་རཱ་ཇ་འགོ་འཛིན་བཀྲ་ཤིས་ཀྱི་ལས་ཁུངས་ནང་ཚུར་སླེབས་སྐབས།
STT_AB00494_0149_529581_to_530588,གཙང་འགྲམ་ལ་སྡོད་སྐབས།  ,gtsang 'gram la sdod skabs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00494_0149_529581_to_530588.wav,STT_AB,2,23,1.007,wav16k/STT_AB00494_0149_529581_to_530588.wav,གཙང་འགྲམ་ལ་སྡོད་སྐབས།
STT_AB00315_0332_1567295_to_1569411,དེ་ཡང་བདེན་པ་བཞི་ནི།  ,de yang bden pa bzhi ni/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00315_0332_1567295_to_1569411.wav,STT_AB,2,22,2.116,wav16k/STT_AB00315_0332_1567295_to_1569411.wav,དེ་ཡང་བདེན་པ་བཞི་ནི་
STT_AB00315_0333_1569667_to_1578302,སྡུག་བསྔལ་བདེན་པ། ཀུན་འབྱུང་བདེན་པ། འགོག་པའི་བདེན་པ། ལམ་གྱི་བདེན་པ་སྟེ་བཞིའོ་སྙམ་པའི་སྒྲ་སྤྱི་ཙམ་ཞིག་ཤེས་པས་མི་ཆོག་པར།  ,sdug bsngal bden pa/_kun 'byung bden pa/_'gog pa'i bden pa/_lam gyi bden pa ste bzhi'o snyam pa'i sgra spyi tsam zhig shes pas mi chog par/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00315_0333_1569667_to_1578302.wav,STT_AB,2,120,8.635,wav16k/STT_AB00315_0333_1569667_to_1578302.wav,སྡུག་བསྔལ་བདེན་པ། ཀུན་འབྱུང་བདེན་པ། འགོག་པའི་བདེན་པ། ལམ་གྱི་བདེན་པ་སྟེ་བཞིའོ་སྙམ་པའི་སྒྲ་སྤྱི་ཙམ་ཞིག་ཤེས་པས་མི་ཆོག་པར།
STT_AB00315_0340_1604343_to_1605196,དེས་ན་ ,des na _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00315_0340_1604343_to_1605196.wav,STT_AB,2,7,0.853,wav16k/STT_AB00315_0340_1604343_to_1605196.wav,དེས་ན་
STT_AB00315_0330_1555793_to_1559018,དེ་ཙམ་གྱིས་ནི་སངས་རྒྱས་ཀྱི་ཆོས་ངོ་ཤེས་པ་མིན་ནོ།  ,de tsam gyis ni sangs rgyas kyi chos ngo shes pa min no/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00315_0330_1555793_to_1559018.wav,STT_AB,2,49,3.225,wav16k/STT_AB00315_0330_1555793_to_1559018.wav,དེ་ཙམ་གྱིས་ནི་སངས་རྒྱས་ཀྱི་ཆོས་ངོ་ཤེས་པ་མིན་ནོ།
